Date,Meninggal (baru),Sembuh (baru)
27 Des 2022,9,1692
28 Des 2022,14,2531
29 Des 2022,9,1437
30 Des 2022,10,904
31 Des 2022,19,4200
1 Jan 2023,7,653
2 Jan 2023,16,692
3 Jan 2023,13,800
4 Jan 2023,9,665
5 Jan 2023,8,681
6 Jan 2023,8,563
7 Jan 2023,6,680
8 Jan 2023,4,429
9 Jan 2023,11,557
10 Jan 2023,3,612
11 Jan 2023,8,509
12 Jan 2023,6,669
13 Jan 2023,8,471
14 Jan 2023,5,522
15 Jan 2023,3,366
16 Jan 2023,12,530
17 Jan 2023,7,572
18 Jan 2023,10,433
19 Jan 2023,8,435
20 Jan 2023,8,687
21 Jan 2023,5,605
22 Jan 2023,4,360
23 Jan 2023,7,445
24 Jan 2023,5,453
25 Jan 2023,2,339
26 Jan 2023,4,539
27 Jan 2023,2,283
28 Jan 2023,1,254
29 Jan 2023,1,199
30 Jan 2023,7,334
31 Jan 2023,4,263
1 Feb 2023,3,276
2 Feb 2023,5,203
3 Feb 2023,4,273
4 Feb 2023,5,233
5 Feb 2023,1,181
6 Feb 2023,6,306
7 Feb 2023,9,259
8 Feb 2023,5,249
9 Feb 2023,3,257
10 Feb 2023,3,275
11 Feb 2023,2,211
12 Feb 2023,4,188
13 Feb 2023,6,266
14 Feb 2023,3,209
15 Feb 2023,5,156
16 Feb 2023,2,207
17 Feb 2023,4,203
18 Feb 2023,0,614
19 Feb 2023,2,174
20 Feb 2023,2,238
21 Feb 2023,4,200
22 Feb 2023,2,195
23 Feb 2023,3,265
24 Feb 2023,5,226
25 Feb 2023,3,167
26 Feb 2023,3,224
27 Feb 2023,3,270
28 Feb 2023,3,235
1 Mar 2023,2,153
2 Mar 2023,4,253
3 Mar 2023,5,234
4 Mar 2023,3,277
5 Mar 2023,2,576
6 Mar 2023,2,218
7 Mar 2023,2,346
8 Mar 2023,3,137
9 Mar 2023,4,291
10 Mar 2023,3,196
11 Mar 2023,1,201
12 Mar 2023,3,214
13 Mar 2023,2,311
14 Mar 2023,3,251
15 Mar 2023,3,191
16 Mar 2023,7,234
17 Mar 2023,5,283
18 Mar 2023,1,278
19 Mar 2023,2,206
20 Mar 2023,4,411
21 Mar 2023,2,322
22 Mar 2023,5,153
23 Mar 2023,2,224
24 Mar 2023,1,290
25 Mar 2023,9,319
26 Mar 2023,0,246
27 Mar 2023,6,430
28 Mar 2023,5,176
29 Mar 2023,3,471
30 Mar 2023,4,401
31 Mar 2023,8,243
1 Apr 2023,3,299
2 Apr 2023,4,154
3 Apr 2023,3,432
4 Apr 2023,5,323
5 Apr 2023,4,553
6 Apr 2023,5,420
7 Apr 2023,2,368
8 Apr 2023,4,357
9 Apr 2023,2,296
10 Apr 2023,5,576
11 Apr 2023,14,702
12 Apr 2023,11,346
13 Apr 2023,14,714
14 Apr 2023,14,463
15 Apr 2023,6,505
16 Apr 2023,7,545
17 Apr 2023,6,736
18 Apr 2023,11,580
19 Apr 2023,12,558
20 Apr 2023,13,699
21 Apr 2023,5,778
22 Apr 2023,6,607
23 Apr 2023,1,948
24 Apr 2023,5,611
25 Apr 2023,8,841
26 Apr 2023,14,1191
27 Apr 2023,17,1825
28 Apr 2023,37,1310
29 Apr 2023,14,810
30 Apr 2023,12,819
1 Mei 2023,16,839
2 Mei 2023,27,1019
3 Mei 2023,25,1120
4 Mei 2023,32,1139
5 Mei 2023,20,1146
6 Mei 2023,35,1283
7 Mei 2023,20,1259
8 Mei 2023,21,1795
9 Mei 2023,21,1284
10 Mei 2023,25,1292
11 Mei 2023,21,1366
12 Mei 2023,27,1593
13 Mei 2023,25,1596
14 Mei 2023,10,1223
15 Mei 2023,21,2242
16 Mei 2023,8,755
17 Mei 2023,8,1011
18 Mei 2023,7,911
19 Mei 2023,5,1081
20 Mei 2023,13,689
21 Mei 2023,3,972
22 Mei 2023,9,965
23 Mei 2023,18,1868
24 Mei 2023,14,751
25 Mei 2023,6,643
26 Mei 2023,5,682
27 Mei 2023,7,379
28 Mei 2023,6,621
29 Mei 2023,15,829
30 Mei 2023,8,720
31 Mei 2023,9,625
1 Jun 2023,2,325
2 Jun 2023,5,444
3 Jun 2023,2,621
4 Jun 2023,9,386
5 Jun 2023,8,618
6 Jun 2023,7,427
7 Jun 2023,7,523
8 Jun 2023,4,392
9 Jun 2023,5,376
10 Jun 2023,0,243
11 Jun 2023,1,168
12 Jun 2023,5,451
13 Jun 2023,4,278
14 Jun 2023,2,196
15 Jun 2023,4,228
16 Jun 2023,3,188
17 Jun 2023,1,136
18 Jun 2023,4,273
19 Jun 2023,0,186
20 Jun 2023,4,251
21 Jun 2023,5,214
22 Jun 2023,4,210
23 Jun 2023,4,224
24 Jun 2023,2,159
25 Jun 2023,2,79
26 Jun 2023,2,131
27 Jun 2023,3,172
28 Jun 2023,0,84
