source,productioncenter,domain,timestamp,year,month,day,hour,minute,second,id,latitude,longitude,coordinate,type,region,level,description,domain2,tags,name,ns1:lang,id3,description4,type5,type6,h,datetime,day7,value,unit
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,tmin,Min temperature,daily,daily,,2.02403E+11,20240315,25,C
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,tmin,Min temperature,daily,daily,,2.02403E+11,20240315,77,F
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,tmin,Min temperature,daily,daily,,2.02403E+11,20240316,25,C
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,tmin,Min temperature,daily,daily,,2.02403E+11,20240316,77,F
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,tmin,Min temperature,daily,daily,,2.02403E+11,20240317,25,C
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,tmin,Min temperature,daily,daily,,2.02403E+11,20240317,77,F
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,t,Temperature,hourly,hourly,0,2.02403E+11,,26,C
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,t,Temperature,hourly,hourly,0,2.02403E+11,,78.8,F
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,t,Temperature,hourly,hourly,6,2.02403E+11,,30,C
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,t,Temperature,hourly,hourly,6,2.02403E+11,,86,F
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,t,Temperature,hourly,hourly,12,2.02403E+11,,26,C
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,t,Temperature,hourly,hourly,12,2.02403E+11,,78.8,F
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,t,Temperature,hourly,hourly,18,2.02403E+11,,25,C
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,t,Temperature,hourly,hourly,18,2.02403E+11,,77,F
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,t,Temperature,hourly,hourly,24,2.02403E+11,,26,C
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,t,Temperature,hourly,hourly,24,2.02403E+11,,78.8,F
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,t,Temperature,hourly,hourly,30,2.02403E+11,,29,C
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,t,Temperature,hourly,hourly,30,2.02403E+11,,84.2,F
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,t,Temperature,hourly,hourly,36,2.02403E+11,,25,C
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,t,Temperature,hourly,hourly,36,2.02403E+11,,77,F
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,t,Temperature,hourly,hourly,42,2.02403E+11,,25,C
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,t,Temperature,hourly,hourly,42,2.02403E+11,,77,F
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,t,Temperature,hourly,hourly,48,2.02403E+11,,26,C
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,t,Temperature,hourly,hourly,48,2.02403E+11,,78.8,F
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,t,Temperature,hourly,hourly,54,2.02403E+11,,31,C
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,t,Temperature,hourly,hourly,54,2.02403E+11,,87.8,F
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,t,Temperature,hourly,hourly,60,2.02403E+11,,26,C
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,t,Temperature,hourly,hourly,60,2.02403E+11,,78.8,F
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,t,Temperature,hourly,hourly,66,2.02403E+11,,25,C
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,t,Temperature,hourly,hourly,66,2.02403E+11,,77,F
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,weather,Weather,hourly,hourly,0,2.02403E+11,,3,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,weather,Weather,hourly,hourly,6,2.02403E+11,,95,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,weather,Weather,hourly,hourly,12,2.02403E+11,,60,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,weather,Weather,hourly,hourly,18,2.02403E+11,,60,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,weather,Weather,hourly,hourly,24,2.02403E+11,,3,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,weather,Weather,hourly,hourly,30,2.02403E+11,,95,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,weather,Weather,hourly,hourly,36,2.02403E+11,,1,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,weather,Weather,hourly,hourly,42,2.02403E+11,,1,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,weather,Weather,hourly,hourly,48,2.02403E+11,,1,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,weather,Weather,hourly,hourly,54,2.02403E+11,,60,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,weather,Weather,hourly,hourly,60,2.02403E+11,,3,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,weather,Weather,hourly,hourly,66,2.02403E+11,,95,icon
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,wd,Wind direction,hourly,hourly,0,2.02403E+11,,292.5,deg
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,wd,Wind direction,hourly,hourly,0,2.02403E+11,,WNW,CARD
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,wd,Wind direction,hourly,hourly,0,2.02403E+11,,29230,SEXA
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,wd,Wind direction,hourly,hourly,6,2.02403E+11,,292.5,deg
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,wd,Wind direction,hourly,hourly,6,2.02403E+11,,WNW,CARD
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,wd,Wind direction,hourly,hourly,6,2.02403E+11,,29230,SEXA
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,wd,Wind direction,hourly,hourly,12,2.02403E+11,,292.5,deg
meteofactory,NC Jakarta,local,2.02403E+13,2024,3,15,2,39,19,501272,-7.033333333,112.7667,112.7667 -7.033333333,land,,1,Bangkalan,Jawa Timur,,,,wd,Wind direction,hourly,hourly,12,2.02403E+11,,WNW,CARD
